code,cx,cy
E06000001,448118,530661
E06000002,450380,516653
E06000003,463383,518023
E06000004,443484,518785
E06000005,429038,517147
E06000006,352162,383230
E06000011,499908,442365
E06000012,523749,406881
E06000014,461737,451799
E06000015,435851,335169
E06000017,491121,307844
E06000018,455451,340739
E06000019,349035,245285
E06000020,367109,314837
E06000021,389018,346716
E06000023,346546,172919
E06000024,344429,165882
E06000026,249389,56735
E06000027,291417,61223
E06000031,518343,302621
E06000032,508515,222915
E06000035,578769,172759
E06000036,487739,168395
E06000037,448409,172535
E06000038,470639,173186
E06000039,498180,179746
E06000040,490435,177040
E06000041,477672,170613
E06000042,486881,243629
E06000043,531606,106526
E06000044,465010,102752
E06000045,442376,113232
E06000047,410446,533389
E06000050,350919,367257
E06000051,350424,304422
E06000053,91546,11139
E06000054,403934,155301
E06000055,504237,255656
E06000056,507413,235392
E06000057,395886,594161
E06000058,408362,94131
E06000059,376581,100771
E06000060,482081,210241
E06000061,493494,281667
E06000062,465908,258722
E07000008,545770,257755
E07000009,556466,274112
E07000010,539807,298084
E07000012,542444,254795
E07000026,319765,535836
E07000027,320831,470657
E07000028,348339,564335
E07000029,310947,502927
E07000030,359952,524354
E07000031,344716,488871
E07000032,435845,348157
E07000033,448358,368917
E07000034,440052,373318
E07000035,420549,359062
E07000036,443979,337734
E07000037,408491,386271
E07000038,436969,370027
E07000041,293498,92447
E07000042,290588,109637
E07000043,265967,131782
E07000045,282849,79821
E07000046,241935,112003
E07000047,255465,86000
E07000061,559822,99749
E07000062,580952,110924
E07000063,541167,111026
E07000067,578133,230213
E07000068,559999,195829
E07000069,579982,185122
E07000070,571456,205876
E07000071,597077,223202
E07000072,548522,203300
E07000074,592438,204831
E07000076,614571,223776
E07000079,407474,213072
E07000080,366318,214546
E07000082,379361,203473
E07000084,455819,153006
E07000085,473316,131076
E07000086,447331,115065
E07000087,454571,106165
E07000088,459361,100995
E07000089,476958,154529
E07000091,426464,106633
E07000092,486069,153516
E07000093,434314,136669
E07000094,454712,125708
E07000095,534904,204646
E07000096,500758,209858
E07000098,518976,199022
E07000099,524291,230523
E07000102,506561,196949
E07000106,616375,158359
E07000107,556785,172676
E07000108,629815,151044
E07000109,566746,170115
E07000110,580248,151563
E07000111,551567,155211
E07000113,595988,164044
E07000114,632674,166985
E07000115,564511,155282
E07000116,570254,137789
E07000117,385506,431414
E07000118,357265,418497
E07000121,353328,463919
E07000122,387886,441045
E07000123,354185,435253
E07000125,382473,421988
E07000126,353203,425975
E07000127,341717,412911
E07000128,344008,445536
E07000129,452852,297375
E07000130,457739,315833
E07000131,467383,293977
E07000132,441354,302271
E07000133,477226,322729
E07000134,440239,317453
E07000135,461524,299185
E07000137,535540,374440
E07000138,496573,370718
E07000139,504210,354897
E07000140,532780,324067
E07000141,499893,329594
E07000143,592273,302678
E07000144,623735,316663
E07000145,647815,311075
E07000146,566910,317216
E07000148,622020,308886
E07000149,622377,295780
E07000163,388715,464893
E07000164,444420,488149
E07000165,426573,463534
E07000166,404370,496225
E07000167,475009,480011
E07000169,457071,432688
E07000170,449768,355201
E07000171,469431,382275
E07000172,449657,342283
E07000173,459166,348277
E07000175,472378,359080
E07000176,464834,334124
E07000177,449860,229130
E07000178,452441,206500
E07000179,464397,193175
E07000180,438787,192976
E07000181,434067,215553
E07000187,362056,144991
E07000188,333465,143276
E07000189,350246,121192
E07000192,401418,312745
E07000193,412763,329519
E07000194,413297,310036
E07000195,378749,344081
E07000196,388140,303026
E07000197,388230,327866
E07000199,421984,303220
E07000200,599986,243163
E07000203,611211,265459
E07000207,512060,163238
E07000208,521188,161461
E07000209,500446,150851
E07000210,517049,147214
E07000211,526286,152009
E07000212,501617,167042
E07000213,506652,170605
E07000215,536712,149345
E07000216,495682,139877
E07000217,500423,158249
E07000218,425346,294421
E07000219,435701,289373
E07000220,445826,276476
E07000221,425910,253437
E07000222,428512,268090
E07000223,519857,106296
E07000224,500922,105536
E07000225,488437,116059
E07000226,527313,137822
E07000227,514696,122819
E07000228,531427,126224
E07000229,513043,104470
E07000234,398961,273791
E07000235,376452,253907
E07000236,403427,264902
E07000237,385680,255359
E07000238,396608,251844
E07000239,381336,275771
E07000240,514441,209482
E07000241,524698,209206
E07000242,537205,220364
E07000243,524559,224521
E07000244,636456,265500
E07000245,578957,267629
E07000246,304672,132836
E08000002,379434,410155
E08000003,384645,394923
E08000004,396668,406152
E08000005,389646,413331
E08000006,375503,399266
E08000007,391577,388561
E08000008,395938,397900
E08000009,376532,391465
E08000010,361033,403243
E08000011,344694,392430
E08000012,339133,389144
E08000013,352124,396102
E08000014,332846,408176
E08000015,327405,386273
E08000016,431083,404470
E08000017,460041,405684
E08000018,447556,390471
E08000021,421988,568195
E08000022,430940,570503
E08000023,435717,563346
E08000024,435242,554109
E08000025,408620,287849
E08000026,432736,280037
E08000027,392753,287253
E08000028,399516,290879
E08000029,418611,279457
E08000030,402370,300150
E08000031,391927,299026
E08000032,409656,438737
E08000033,401827,424977
E08000034,415745,414567
E08000035,432624,436701
E08000036,438985,418409
E08000037,420364,560133
E09000001,532539,181164
E09000002,548056,184924
E09000003,524095,192314
E09000004,548955,175730
E09000005,520189,185924
E09000006,542864,165667
E09000007,527931,184580
E09000008,533300,163557
E09000009,515931,181701
E09000010,532411,196432
E09000011,542847,177046
E09000013,523529,178905
E09000014,531225,189614
E09000015,514912,190121
E09000016,554032,187245
E09000017,507905,183585
E09000018,513589,175668
E09000019,531145,185005
E09000020,525606,179504
E09000021,519327,166705
E09000022,530807,174499
E09000023,537676,174051
E09000024,525579,169458
E09000025,541466,182855
E09000026,543919,189405
E09000027,517367,172867
E09000028,533829,176738
E09000029,526964,164120
E09000030,536495,181509
E09000031,537726,190195
E09000032,526055,174145
E09000033,527739,181005
W06000001,241795,379205
W06000002,263903,334963
W06000003,283987,361802
W06000004,309404,355776
W06000005,322419,369649
W06000006,331795,344142
W06000008,258574,263991
W06000009,201312,221152
W06000010,251227,224511
W06000011,257445,195641
W06000012,279564,199348
W06000013,289150,185340
W06000014,302809,172697
W06000015,316778,179542
W06000016,300745,195665
W06000018,316753,195610
W06000019,317699,208201
W06000020,327301,200555
W06000021,340238,206911
W06000022,333448,186541
W06000023,303993,270454
W06000024,306153,205467
E06000007,362665,389223
E06000008,369254,421850
E06000009,331921,436188
E06000010,509765,430588
E06000013,493268,411782
E06000016,459135,304861
E06000022,367057,162001
E06000025,367431,183263
E06000030,417817,185857
E06000033,589363,185610
E06000034,564863,181237
E06000046,449779,86461
E06000049,376729,364874
E06000052,199168,59975
E07000011,521228,276573
E07000039,429750,326002
E07000040,313793,96775
E07000044,270440,54205
E07000064,578409,119997
E07000065,554434,120966
E07000066,570901,190821
E07000073,545614,209915
E07000078,395079,221973
E07000081,383531,216834
E07000083,394038,227458
E07000090,471226,104842
E07000103,510556,197803
E07000112,610024,132599
E07000119,339324,432384
E07000120,374414,429238
E07000124,370849,445761
E07000136,532926,343714
E07000142,501339,389522
E07000147,613546,332832
E07000168,488815,497619
E07000174,455327,364075
E07000198,401331,353540
E07000202,616698,244356
E07000214,492648,161313
E08000001,369187,409211
E08000019,430011,389797
E09000012,534348,185478
E07000075,594750,191782
E07000077,556816,228707
E07000105,596857,139969
E06000053,91546,11139
E09000001,532539,181164
